,PERP_RACE,F,M,V
0,AMERICAN INDIAN/ALASKAN NATIVE,41.142020497803806,58.711566617862374,0.14641288433382138
1,ASIAN / PACIFIC ISLANDER,42.594650029911975,57.114776514827795,0.29057345526023415
2,BLACK,46.68803317197501,52.62056700491683,0.6913998231081608
3,BLACK HISPANIC,43.27135493372607,56.27761413843888,0.4510309278350515
4,UNKNOWN,39.879759519038075,59.719438877755515,0.4008016032064128
5,WHITE,39.40004799616031,60.11999040076794,0.4799616030717543
6,WHITE HISPANIC,41.672722116867234,57.758360952094,0.5689169310387608
